pair_label,mean_cka,mean_rsa,mean_knn,mean_procrustes
gemma3_1b_it vs lfm2_5_1_2b_instruct,0.7698400020599365,0.7630292129023718,0.5432497066425638,0.022262529523338175
gemma1_1_2b_it vs gemma3_1b_it,0.7648681572505406,0.8112392485832924,0.588485790586631,0.02208590606402149
gemma3_1b_it vs lfm2_5_1_2b_base,0.7647576757839748,0.7639836560310193,0.541384969553737,0.022357853621604473
gemma2_2b_it vs gemma3_1b_pt,0.7627038189343044,0.7392539235280516,0.6026431545164038,0.022165840581321043
gemma1_1_2b_it vs gemma3_1b_pt,0.7598324503217425,0.7784721892223404,0.5696515040877786,0.022561235198873503
gemma3_1b_pt vs lfm2_5_1_2b_base,0.7545394599437714,0.7347555979567078,0.5212676879868756,0.022743459958992584
codegemma_2b vs gemma3_1b_it,0.7497837032590594,0.7939802460136633,0.6099616232144243,0.0225473327534528
codegemma_2b vs gemma3_1b_pt,0.7464392355510167,0.760307880144566,0.5897435463436863,0.022483080644262573
gemma3_1b_it vs gemma3_4b_it,0.7452105496610913,0.8445264308523741,0.6534571501483267,0.027246612584297773
gemma2_2b_it vs gemma3_4b_it,0.7401940396853856,0.7855997643454348,0.6434753777190753,0.02531370246447803
gemma2_2b vs gemma3_4b_pt,0.7381426095962524,0.7413335994387769,0.6139502952178022,0.025387238203837415
gemma3_4b_it vs gemma3_4b_pt,0.7360553741455078,0.9554741167454746,0.8063666492237921,0.020617535857374986
gemma3_1b_pt vs lfm2_5_1_2b_instruct,0.73506041935512,0.7200886075480709,0.5188419494967114,0.022857579520818645
gemma3_1b_it vs lfm2_5_1_2b_thinking,0.7336478914533343,0.7059300124448143,0.5366050407062865,0.0231676180555498
gemma1_1_2b_it vs gemma3_4b_pt,0.7295759149960109,0.8485321413086676,0.5790577879688524,0.027012811820530915
gemma3_4b_pt vs lfm2_5_1_2b_thinking,0.7295297469411578,0.7390402144789638,0.518753939674808,0.027254524582960456
gemma2_2b_it vs gemma3_4b_pt,0.7212144136428833,0.7455585290149563,0.6232968614796347,0.02570351737863227
gemma3_4b_it vs lfm2_5_1_2b_instruct,0.7156177844320025,0.7635423333200535,0.5435544912085529,0.027721654221236756
gemma2_2b vs gemma3_4b_it,0.7129183113574982,0.7502867672506808,0.6214187967339228,0.026131506630305185
gemma1_1_2b_it vs gemma3_4b_it,0.7059786106858935,0.8574182896705347,0.5916043994650437,0.027698993551588984
codegemma_2b vs gemma3_4b_pt,0.7034171947411129,0.8219065356361123,0.6022941603473816,0.027590876721797573
gemma3_4b_pt vs lfm2_5_1_2b_instruct,0.6968018455164773,0.7546100827343839,0.524683724005558,0.028094322535471557
gemma3_1b_it vs gemma3_1b_pt,0.6967675004686628,0.8574311734044111,0.6509305451007131,0.022640002614889188
gemma3_4b_it vs lfm2_5_1_2b_base,0.6940978339740208,0.7848019753086726,0.5462734595262606,0.028592151902111614
gemma3_4b_pt vs lfm2_5_1_2b_base,0.6919382640293666,0.7853676820793697,0.5283796437507922,0.0284427164893336
codegemma_2b vs gemma3_4b_it,0.6799526810646057,0.8121192863301939,0.6145157408987941,0.028336499333556954
gemma3_1b_it vs gemma3_4b_pt,0.6749272474220821,0.814568604964365,0.6350318021536508,0.02943618401169094
gemma3_4b_it vs lfm2_5_1_2b_thinking,0.6469925258840833,0.7177373192701705,0.5373924835409429,0.029676762433574415
gemma3_1b_pt vs gemma3_4b_it,0.6240917188780648,0.8325464630876107,0.6549149302300563,0.031108797111305216
