pair_label,mean_cka,mean_rsa,mean_knn,mean_procrustes
codegemma_2b vs lfm2_5_1_2b_instruct,0.8968275040388106,0.8199993978386997,0.6420834407966761,0.02042334564021375
gemma1_1_2b_it vs lfm2_5_1_2b_thinking,0.8906932920217514,0.7273654314162254,0.6470619272702607,0.02199729347430835
codegemma_2b vs lfm2_5_1_2b_thinking,0.88640496134758,0.7516229433153683,0.638100733688969,0.021642731922568
gemma3_1b_pt vs gemma3_4b_pt,0.8639196902513504,0.8576503237250619,0.6955539445122778,0.028522338692510724
gemma3_1b_it vs gemma3_4b_it,0.8099526762962341,0.8709196231866556,0.6833629333629334,0.0326788515917636
gemma2_2b_it vs gemma3_1b_it,0.801777720451355,0.8099182741964817,0.6620334254525432,0.026244122063800925
gemma2_2b vs gemma3_1b_pt,0.7882464230060577,0.7302330193619537,0.6466592435342435,0.028923466345683775
gemma2_2b vs gemma3_1b_it,0.7767271995544434,0.7609272063437648,0.6495341962866472,0.028602888426836524
gemma3_1b_it vs lfm2_5_1_2b_instruct,0.7750589698553085,0.7765127798096386,0.6240299052799053,0.029765782576965875
gemma3_1b_pt vs lfm2_5_1_2b_thinking,0.7727605253458023,0.6910053375691145,0.5906140110796974,0.030719522585592175
gemma2_2b_it vs gemma3_1b_pt,0.7642776072025299,0.7622206755669891,0.6582266113516113,0.030083691007728824
gemma3_1b_it vs lfm2_5_1_2b_base,0.761221393942833,0.7700651408707205,0.6190414637105814,0.030605570097203327
gemma1_1_2b_it vs gemma3_1b_it,0.7608653455972672,0.8176890265864769,0.6367424242424242,0.030963206252808552
gemma2_2b_it vs gemma3_4b_it,0.7585913985967636,0.814743663088493,0.7003563566063566,0.03315551431785175
gemma3_1b_pt vs lfm2_5_1_2b_base,0.7573087364435196,0.74106967326256,0.5975418168432874,0.030912588993569627
gemma2_2b vs gemma3_4b_pt,0.7466333955526352,0.7733292988466082,0.6740817937509115,0.033674740579246645
gemma1_1_2b_it vs gemma3_1b_pt,0.7453043311834335,0.7779941817653622,0.6157842112498975,0.032647536058621
gemma3_4b_pt vs lfm2_5_1_2b_thinking,0.7450984120368958,0.7132416364520948,0.6047948919272448,0.036196615190998975
codegemma_2b vs gemma3_1b_it,0.7434729784727097,0.7951750222740879,0.6186097807421337,0.031808414938571
gemma3_1b_pt vs lfm2_5_1_2b_instruct,0.743413895368576,0.7364213359633397,0.5934514627529334,0.030605430986164174
gemma2_2b vs gemma3_4b_it,0.7361635789275169,0.7788279323357221,0.6757946914196915,0.0341856076832901
gemma3_4b_it vs lfm2_5_1_2b_instruct,0.7325792536139487,0.7663538547535544,0.6294358147299324,0.03688424772143425
gemma3_1b_it vs lfm2_5_1_2b_thinking,0.7295750677585602,0.7027513657804874,0.6250293755808463,0.031459637185124324
codegemma_2b vs gemma3_1b_pt,0.7276711463928223,0.7515235801541466,0.5993852983436316,0.032641625644291676
gemma2_2b_it vs gemma3_4b_pt,0.7204901427030563,0.7770558792747035,0.6825018731268732,0.0344197676588274
gemma1_1_2b_it vs gemma3_4b_pt,0.7131466716527939,0.843252083480888,0.634304298642534,0.03830698296665851
gemma3_4b_it vs lfm2_5_1_2b_base,0.7104372382164,0.78948041382419,0.6298393463834641,0.03821647388153108
gemma3_1b_it vs gemma3_4b_pt,0.7064248472452164,0.8381071682940525,0.6643059441466305,0.03765589110216898
gemma1_1_2b_it vs gemma3_4b_it,0.7054577842354774,0.8546853035769874,0.6444098453289631,0.03866743494072255
gemma3_4b_pt vs lfm2_5_1_2b_base,0.7049162983894348,0.7915768487668292,0.6128939075630252,0.038021663726396426
gemma3_1b_it vs gemma3_1b_pt,0.703581228852272,0.8727892487289698,0.6742198501389678,0.0303871979751072
gemma3_4b_pt vs lfm2_5_1_2b_instruct,0.701630674302578,0.7496766390564529,0.613359903984904,0.03778831564842082
gemma3_4b_it vs gemma3_4b_pt,0.6887499578297138,0.9550738611236964,0.8270086395086396,0.03139256081308865
codegemma_2b vs gemma3_4b_it,0.68777035176754,0.816746242714895,0.6312348531098532,0.0393115568145847
codegemma_2b vs gemma3_4b_pt,0.6873973086476326,0.81584884251564,0.618512594431712,0.03916246198997672
gemma3_1b_pt vs gemma3_4b_it,0.6675219461321831,0.8558192526879358,0.6924359817742171,0.03950229929074173
gemma3_4b_it vs lfm2_5_1_2b_thinking,0.660525269806385,0.7035939645432404,0.6219021333604667,0.03985467213436637
